,team1,team2,Temp,Wind_speed,team1_home_A,Game_id,astroturf,fieldturf,grass,matrixturf,sportturf
125,HOU,JAX,79,14,0,AHJOUX2,0,0,1,0,0
126,CAR,KC,71,19,0,ACCKR1,1,0,0,0,0
127,DET,MIN,72,0,0,DEIMNT1,0,0,0,0,1
128,CHI,TEN,77,14,0,CEHINT1,0,0,1,0,0
129,OAK,LAC,72,0,0,AACKLO1,0,0,0,1,0
130,NO,TB,77,17,0,BNOT2,0,0,1,0,0
131,NYG,WSH,75,1,0,GHNSWY2,0,0,1,0,0
132,NYJ,NE,61,2,1,EJNNY1,0,1,0,0,0
133,IND,TEN,56,6,0,DEINNT1,0,0,1,0,0
134,CAR,TB,65,15,1,ABCRT2,0,0,1,0,0
135,HOU,CLE,59,25,0,CEHLOU1,0,0,1,0,0
136,BUF,ARI,72,0,0,ABFIRU1,0,0,1,0,0
137,WSH,DET,72,0,0,DEHSTW1,0,1,0,0,0
138,JAX,GB,38,23,0,ABGJX1,0,0,1,0,0
139,LAC,MIA,83,7,0,AACILM1,0,0,1,0,0
140,SF,NO,72,0,0,FNOS1,1,0,0,0,0
141,BAL,NE,52,13,0,ABELN1,0,0,1,0,0
142,PHI,NYG,56,18,0,GHINPY2,0,1,0,0,0
143,CIN,PIT,52,21,0,CIINPT1,0,0,1,0,0
144,OAK,DEN,72,0,1,ADEKNO1,0,0,1,0,0
145,SEA,LAR,72,0,0,AAELRS1,0,0,0,1,0
146,MIN,CHI,44,11,0,CHIIMN1,0,0,1,0,0
147,ARI,SEA,48,11,0,AAEIRS2,0,1,0,0,0
148,CAR,DET,65,7,1,ACDERT1,0,0,1,0,0
149,PHI,CLE,38,8,0,CEHILP1,0,0,1,0,0
150,GB,IND,72,0,0,BDGIN1,0,1,0,0,0
151,MIA,DEN,45,7,0,ADEIMN1,0,0,1,0,0
152,NE,HOU,72,0,0,EHNOU1,0,0,1,0,0
153,PIT,JAX,72,3,0,AIJPTX1,0,0,1,0,0
154,MIN,DAL,72,0,1,ADILMN1,0,0,0,0,1
155,NO,ATL,72,0,1,ALNOT1,1,0,0,0,0
156,OAK,KC,72,0,1,ACKKO2,0,0,1,0,0
157,TEN,BAL,53,6,0,ABELNT1,0,0,1,0,0
158,LAC,NYJ,72,0,1,ACJLNY1,0,0,0,1,0
159,WSH,CIN,57,7,1,CHINSW1,0,0,1,0,0
160,LAR,TB,69,5,0,ABLRT1,0,0,1,0,0
161,WSH,DAL,72,0,0,ADHLSW2,0,1,0,0,0
162,HOU,DET,72,0,0,DEHOTU1,0,1,0,0,0
163,OAK,ATL,72,0,0,AAKLOT1,0,1,0,0,0
164,LAC,BUF,48,7,0,ABCFLU1,1,0,0,0,0
165,CIN,NYG,52,4,1,CGINNY1,0,0,1,0,0
166,TEN,IND,72,0,0,DEINNT2,0,1,0,0,0
167,DEN,NO,38,6,1,DENNO1,0,0,1,0,0
168,CHI,GB,37,13,0,BCGHI1,0,0,1,0,0
169,JAX,CLE,70,1,1,ACEJLX1,0,0,1,0,0
170,CAR,MIN,72,0,0,ACIMNR1,0,0,0,0,1
171,ARI,NE,52,8,0,AEINR1,0,0,1,0,0
172,MIA,NYJ,54,2,0,AIJMNY2,0,1,0,0,0
173,LAR,SF,72,0,1,AFLRS2,0,0,0,1,0
174,KC,TB,81,5,0,BCKT1,0,0,1,0,0
175,PHI,SEA,60,16,1,AEHIPS1,0,0,1,0,0
176,BAL,PIT,36,14,0,ABILPT2,0,0,1,0,0
177,ATL,NO,72,0,1,ALNOT2,0,1,0,0,0
178,DET,CHI,35,5,0,CDEHIT2,0,0,1,0,0
179,LAR,ARI,72,0,0,AAILRR1,0,0,1,0,0
180,GB,PHI,34,9,1,BGHIP1,0,0,1,0,0
181,IND,HOU,72,0,0,DHINOU1,0,0,1,0,0
182,KC,DEN,41,9,1,CDEKN2,1,0,0,0,0
183,CIN,MIA,81,5,0,ACIIMN1,0,0,1,0,0
184,MIN,JAX,72,0,1,AIJMNX1,0,0,0,0,1
185,NYJ,OAK,39,18,1,AJKNOY1,0,1,0,0,0
186,CLE,TEN,52,1,0,CEELNT1,0,0,1,0,0
