,team1,team2,Temp,Wind_speed,team1_home_A,astroturf,fieldturf,grass,matrixturf,sportturf,Game_id
128,MIA,HOU,72,19,1,0,0,1,0,0,AHIMOU1
129,ATL,NO,72,0,0,0,0,0,0,1,ALNOT1
130,OAK,NYG,54,4,0,0,1,0,0,0,AGKNOY1
131,LAC,PHI,54,11,0,0,0,1,0,0,ACHILP1
132,TEN,LAR,72,0,0,0,0,0,1,0,AELNRT1
133,BAL,MIN,56,8,1,0,0,1,0,0,ABILMN1
134,ARI,SF,57,8,0,0,0,1,0,0,AFIRS2
135,CHI,PIT,55,7,0,0,0,1,0,0,CHIIPT1
136,MIA,BAL,77,4,1,0,0,1,0,0,AABILM1
137,JAX,IND,72,0,0,0,1,0,0,0,ADIJNX1
138,ARI,CAR,72,0,1,0,0,1,0,0,AACIRR1
139,DAL,ATL,72,0,1,0,0,0,1,0,AADLLT1
140,DEN,PHI,57,19,1,0,0,1,0,0,DEHINP1
141,SEA,GB,35,11,0,0,0,1,0,0,ABEGS1
142,CLE,NE,48,6,0,0,1,0,0,0,CEELN1
143,BUF,NYJ,47,4,0,0,1,0,0,0,BFJNUY1
144,NO,TEN,53,12,0,0,0,1,0,0,ENNOT1
145,DET,PIT,37,12,0,0,0,1,0,0,DEIPTT1
146,KC,OAK,72,0,0,0,0,1,0,0,ACKKO1
147,MIN,LAC,72,0,0,0,0,0,1,0,ACILMN1
148,WSH,TB,47,8,1,0,0,1,0,0,BHSTW1
149,SF,LAR,59,0,1,0,0,1,0,0,AFLRS1
150,NE,ATL,72,0,0,0,1,0,0,0,AELNT1
151,BUF,IND,49,12,1,1,0,0,0,0,BDFINU1
152,WSH,CAR,54,0,0,0,0,1,0,0,ACHRSW1
153,BAL,CHI,46,9,0,0,0,1,0,0,ABCHIL1
154,CLE,DET,42,7,1,0,0,1,0,0,CDEELT1
155,SF,JAX,68,17,0,0,0,1,0,0,AFJSX1
156,KC,DAL,57,17,1,0,0,1,0,0,ACDKL1
157,GB,MIN,72,0,0,0,0,0,0,1,BGIMN1
158,MIA,NYJ,52,4,0,0,1,0,0,0,AIJMNY1
159,HOU,TEN,59,8,0,0,0,1,0,0,EHNOTU1
160,PHI,NO,51,4,1,0,0,1,0,0,HINOP1
161,CIN,OAK,72,0,0,0,0,1,0,0,ACIKNO1
162,PIT,LAC,72,0,0,0,0,0,1,0,ACILPT1
163,ARI,SEA,46,0,0,0,1,0,0,0,AAEIRS1
164,TB,NYG,68,6,1,0,0,1,0,0,BGNTY1
165,DAL,OAK,72,0,1,0,0,0,1,0,AADKLO1
166,DET,CHI,72,0,1,0,1,0,0,0,CDEHIT2
167,BUF,NO,72,0,0,0,0,0,0,1,BFNOU1
168,PIT,CIN,43,12,0,0,1,0,0,0,CIINPT2
169,TB,IND,72,0,0,0,1,0,0,0,BDINT1
170,DEN,LAC,62,0,1,0,0,1,0,0,ACDELN1
171,GB,LAR,37,14,1,0,0,1,0,0,ABGLR1
172,NYJ,HOU,72,0,0,1,0,0,0,0,HJNOUY1
173,ATL,JAX,61,4,0,0,0,1,0,0,AAJLTX1
174,CAR,MIA,74,4,0,0,0,1,0,0,AACIMR1
175,TEN,NE,33,6,0,0,1,0,0,0,EENNT1
176,NYG,PHI,39,4,1,0,1,0,0,0,GHINPY1
177,CLE,BAL,43,0,0,0,0,1,0,0,ABCELL1
178,MIN,SF,68,7,0,0,0,1,0,0,FIMNS1
179,WSH,SEA,41,9,1,0,0,1,0,0,AEHSSW1
180,DAL,NO,72,0,0,0,0,0,0,1,ADLNO1
181,ATL,TB,72,0,1,0,1,0,0,0,ABLTT2
182,ARI,CHI,34,8,0,0,0,1,0,0,ACHIIR1
183,LAC,CIN,48,11,0,0,1,0,0,0,ACCILN1
184,MIN,DET,72,0,0,0,1,0,0,0,DEIMNT2
185,HOU,IND,72,0,1,1,0,0,0,0,DHINOU2
186,KC,DEN,58,22,1,0,0,1,0,0,CDEKN1
187,NYG,MIA,80,11,0,0,0,1,0,0,AGIMNY1
188,PHI,NYJ,45,0,0,0,1,0,0,0,HIJNPY1
189,BAL,PIT,50,7,0,0,0,1,0,0,ABILPT1
190,WSH,OAK,72,0,0,0,0,1,0,0,AHKOSW1
191,JAX,LAR,72,0,0,0,0,0,1,0,AAJLRX1
192,SF,SEA,41,4,0,0,1,0,0,0,AEFSS2
193,NE,BUF,36,19,0,1,0,0,0,0,BEFNU1
194,PIT,MIN,72,0,0,0,0,0,0,1,IIMNPT1
195,ATL,CAR,48,9,0,0,0,1,0,0,AACLRT2
196,SF,CIN,48,9,0,0,1,0,0,0,CFINS1
197,BAL,CLE,46,14,0,0,0,1,0,0,ABCELL2
198,DET,DEN,63,8,0,0,0,1,0,0,DDEENT1
199,GB,CHI,36,8,1,0,0,1,0,0,BCGHI2
200,SEA,HOU,72,0,0,1,0,0,0,0,AEHOSU1
201,OAK,KC,47,19,0,0,0,1,0,0,ACKKO2
202,NO,NYJ,46,13,0,0,1,0,0,0,JNNOY1
203,JAX,TEN,45,0,0,0,0,1,0,0,AEJNTX2
204,LAC,NYG,72,0,1,0,0,0,1,0,ACGLNY1
205,TB,BUF,82,4,1,0,0,1,0,0,BBFTU1
206,DAL,WSH,48,17,0,0,0,1,0,0,ADHLSW1
